Step 0088 | Loss: 1301.0946 | L0: 1075.0 | Dead: 0
Step 0089 | Loss: 1302.8339 | L0: 1075.0 | Dead: 0
Step 0090 | Loss: 1423.7466 | L0: 1075.0 | Dead: 0
Step 0091 | Loss: 1312.2960 | L0: 1075.0 | Dead: 0
Step 0092 | Loss: 1284.3998 | L0: 1075.0 | Dead: 0
Step 0093 | Loss: 1273.8218 | L0: 1075.0 | Dead: 0
Step 0094 | Loss: 1302.3462 | L0: 1075.0 | Dead: 0
Step 0095 | Loss: 1260.6672 | L0: 1075.0 | Dead: 0
Step 0096 | Loss: 1237.7092 | L0: 1075.0 | Dead: 0
Step 0097 | Loss: 1281.3232 | L0: 1075.0 | Dead: 0
Step 0098 | Loss: 1291.7177 | L0: 1075.0 | Dead: 0
Step 0099 | Loss: 1226.6464 | L0: 1075.0 | Dead: 0
Step 0100 | Loss: 1209.3998 | L0: 1075.0 | Dead: 0
Step 0101 | Loss: 1183.1638 | L0: 1075.0 | Dead: 0
Step 0102 | Loss: 1191.3142 | L0: 1075.0 | Dead: 0
Step 0103 | Loss: 1250.9294 | L0: 1075.0 | Dead: 0
Step 0104 | Loss: 1189.1162 | L0: 1075.0 | Dead: 0
Step 0105 | Loss: 1207.6967 | L0: 1075.0 | Dead: 0
Step 0106 | Loss: 1229.4150 | L0: 1075.0 | Dead: 0
Step 0107 | Loss: 1201.4377 | L0: 1075.0 | Dead: 0
Step 0108 | Loss: 1184.2316 | L0: 1075.0 | Dead: 0
Step 0109 | Loss: 1190.2043 | L0: 1075.0 | Dead: 0
Step 0110 | Loss: 1205.9940 | L0: 1075.0 | Dead: 0
Step 0111 | Loss: 1114.5415 | L0: 1075.0 | Dead: 0
Step 0112 | Loss: 1167.1467 | L0: 1075.0 | Dead: 0
Step 0113 | Loss: 1136.6600 | L0: 1075.0 | Dead: 0
Step 0114 | Loss: 1130.1880 | L0: 1075.0 | Dead: 0
